ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
-0.84;-0.06;0.34;22485;-0.25;1.79;-0.43;-5.35;-0.62;2.52;0.84
-0.79;0.20;0.34;22485;0.59;2.62;-0.09;-5.43;-0.60;2.55;0.77
-0.79;0.12;0.39;22486;0.00;-0.75;0.59;-5.51;-0.59;2.59;0.79
-0.78;0.31;0.33;22486;0.07;1.83;-0.62;-5.59;-0.56;2.62;0.81
-0.85;-0.01;0.33;22486;-0.68;-3.14;-0.07;-5.67;-0.56;2.65;0.82
-0.81;-0.16;0.33;22486;0.41;-1.49;0.09;-5.75;-0.57;2.69;0.79
-0.78;-0.64;0.53;22486;0.22;-4.86;1.96;-5.83;-0.64;2.74;1.31
-0.80;-0.40;0.53;22486;-0.13;2.39;0.04;-5.91;-0.68;2.80;1.08
-0.83;-0.18;0.40;22486;-0.30;2.22;-1.37;-5.99;-0.70;2.83;0.87
-0.84;0.00;0.33;22486;-0.13;1.86;-0.70;-6.08;-0.70;2.87;0.81
-0.79;0.26;0.38;22486;0.48;2.60;0.55;-6.16;-0.67;2.91;0.84
-0.76;0.30;0.38;22486;0.34;0.37;-0.02;-6.23;-0.64;2.94;0.81
-0.84;0.09;0.36;22487;-0.81;-2.13;-0.17;-6.32;-0.63;2.98;0.84
-0.82;0.00;0.33;22487;0.17;-0.83;-0.31;-6.40;-0.63;3.01;0.79
-0.82;-0.09;0.32;22487;0.05;-0.93;-0.14;-6.48;-0.64;3.05;0.78
-0.79;-0.53;0.47;22487;0.28;-4.43;1.47;-6.56;-0.69;3.09;1.12
-0.76;-0.71;0.57;22487;0.33;-1.81;1.01;-6.63;-0.77;3.15;1.40
-0.80;-0.31;0.40;22487;-0.40;4.08;-1.67;-6.71;-0.80;3.19;0.89
-0.82;-0.00;0.33;22487;-0.28;3.02;-0.64;-6.80;-0.80;3.22;0.79
-0.81;0.16;0.38;22487;0.12;1.62;0.43;-6.88;-0.78;3.26;0.83
-0.78;0.17;0.45;22487;0.30;0.14;0.77;-6.96;-0.76;3.31;0.85
-0.79;0.19;0.35;22487;-0.11;0.18;-1.03;-7.03;-0.74;3.34;0.79
-0.84;-0.00;0.32;22488;-0.43;-1.91;-0.34;-7.12;-0.74;3.37;0.80
-0.81;-0.23;0.36;22488;0.27;-2.30;0.42;-7.20;-0.77;3.41;0.84
-0.77;-0.61;0.51;22488;0.44;-3.77;1.49;-7.28;-0.83;3.46;1.21
-0.77;-0.62;0.54;22488;-0.03;-0.11;0.31;-7.35;-0.89;3.51;1.27
