ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
-0.42;0.50;0.85;181339;-0.03;-0.04;-0.07;-2.83;3.47;5.91;1.15
-0.41;0.50;0.86;181339;0.05;0.00;0.07;-2.87;3.52;6.00;1.16
-0.41;0.50;0.85;181340;0.01;0.04;-0.03;-2.92;3.57;6.09;1.15
-0.42;0.50;0.85;181340;-0.07;0.02;-0.00;-2.96;3.62;6.17;1.16
-0.42;0.49;0.85;181340;-0.03;-0.12;-0.06;-3.00;3.67;6.26;1.14
-0.42;0.50;0.86;181340;0.00;0.06;0.12;-3.04;3.71;6.34;1.17
-0.42;0.50;0.85;181340;0.02;-0.02;-0.09;-3.08;3.76;6.43;1.15
-0.42;0.50;0.85;181340;0.03;0.01;-0.02;-3.13;3.81;6.51;1.14
-0.42;0.50;0.85;181340;-0.00;-0.02;-0.00;-3.17;3.86;6.60;1.14
-0.42;0.49;0.85;181340;-0.04;-0.04;-0.02;-3.21;3.91;6.68;1.14
-0.43;0.51;0.85;181340;-0.03;0.17;0.03;-3.25;3.96;6.77;1.16
-0.42;0.49;0.85;181340;0.09;-0.20;0.04;-3.29;4.01;6.85;1.14
-0.43;0.50;0.86;181341;-0.11;0.06;0.02;-3.34;4.06;6.94;1.16
-0.42;0.50;0.85;181341;0.05;0.00;-0.10;-3.38;4.11;7.02;1.14
-0.42;0.50;0.85;181341;0.04;0.00;0.00;-3.42;4.16;7.11;1.14
-0.43;0.50;0.85;181341;-0.08;0.03;0.00;-3.46;4.21;7.19;1.15
-0.43;0.50;0.85;181341;-0.02;0.03;0.07;-3.51;4.26;7.28;1.16
-0.43;0.50;0.85;181341;-0.00;-0.05;-0.01;-3.55;4.31;7.36;1.16
-0.43;0.50;0.85;181341;0.03;0.05;-0.02;-3.59;4.36;7.45;1.15
-0.39;0.50;0.85;181341;0.31;-0.07;-0.01;-3.63;4.41;7.53;1.12
-0.42;0.50;0.85;181341;-0.30;0.07;0.03;-3.67;4.46;7.62;1.16
-0.41;0.49;0.85;181341;0.17;-0.13;-0.00;-3.71;4.51;7.70;1.13
-0.43;0.50;0.85;181342;-0.24;0.07;-0.02;-3.76;4.56;7.79;1.15
-0.42;0.50;0.85;181342;0.08;0.03;0.01;-3.80;4.61;7.87;1.15
-0.42;0.50;0.85;181342;-0.00;0.05;0.01;-3.84;4.66;7.96;1.16
-0.42;0.50;0.85;181342;-0.01;-0.07;-0.05;-3.88;4.71;8.04;1.14
-0.43;0.50;0.84;181342;-0.06;-0.00;-0.03;-3.93;4.76;8.13;1.14
-0.42;0.50;0.84;181342;0.10;-0.01;0.02;-3.97;4.81;8.21;1.14
-0.42;0.50;0.85;181342;-0.00;0.09;0.04;-4.01;4.86;8.30;1.15
-0.43;0.50;0.85;181342;-0.09;-0.03;0.00;-4.06;4.91;8.38;1.16
-0.43;0.50;0.85;181342;-0.00;-0.04;-0.02;-4.10;4.96;8.46;1.15
-0.43;0.50;0.84;181342;0.00;-0.01;-0.03;-4.14;5.01;8.55;1.15
-0.43;0.50;0.85;181343;0.01;-0.00;0.04;-4.18;5.06;8.63;1.15
-0.43;0.50;0.84;181343;0.03;0.00;-0.05;-4.23;5.11;8.72;1.14
-0.43;0.49;0.85;181343;-0.04;-0.02;0.07;-4.27;5.16;8.80;1.15
-0.43;0.50;0.85;181343;0.02;0.08;0.00;-4.31;5.21;8.89;1.16
-0.43;0.49;0.85;181343;-0.01;-0.12;-0.03;-4.36;5.26;8.97;1.14
-0.43;0.50;0.84;181343;0.00;0.06;-0.04;-4.40;5.31;9.06;1.14
-0.43;0.50;0.84;181343;0.02;0.02;0.01;-4.44;5.36;9.14;1.15
-0.44;0.50;0.83;181343;-0.09;-0.02;-0.09;-4.49;5.41;9.23;1.14
-0.43;0.49;0.84;181343;0.04;-0.04;0.10;-4.53;5.46;9.31;1.14
-0.44;0.50;0.84;181343;-0.07;0.08;-0.02;-4.57;5.51;9.39;1.16
-0.44;0.50;0.85;181344;0.01;-0.03;0.05;-4.62;5.56;9.48;1.16
-0.42;0.49;0.84;181344;0.15;-0.03;-0.05;-4.66;5.60;9.56;1.13
-0.43;0.50;0.84;181344;-0.05;0.04;-0.02;-4.70;5.65;9.65;1.14
-0.43;0.49;0.85;181344;0.02;-0.09;0.07;-4.75;5.70;9.73;1.14
-0.43;0.50;0.85;181344;-0.06;0.06;0.00;-4.79;5.75;9.82;1.15
-0.43;0.49;0.84;181344;0.02;-0.02;-0.05;-4.83;5.80;9.90;1.14
-0.43;0.49;0.85;181344;-0.03;-0.03;0.07;-4.88;5.85;9.99;1.15
-0.44;0.49;0.85;181344;-0.02;-0.03;-0.02;-4.92;5.90;10.07;1.15
-0.44;0.49;0.84;181344;-0.01;0.03;-0.04;-4.96;5.95;10.15;1.14
-0.44;0.49;0.85;181344;-0.01;0.02;0.04;-5.01;6.00;10.24;1.15
-0.43;0.49;0.85;181345;0.06;0.03;-0.01;-5.05;6.05;10.32;1.15
-0.43;0.49;0.84;181345;0.06;-0.07;-0.03;-5.09;6.10;10.41;1.13
-0.46;0.50;0.84;181345;-0.35;0.12;-0.06;-5.14;6.15;10.49;1.16
-0.39;0.51;0.85;181345;0.76;0.15;0.18;-5.18;6.20;10.58;1.14
-0.41;0.37;0.86;181345;-0.24;-1.41;0.06;-5.22;6.23;10.66;1.05
-0.47;0.39;0.87;181345;-0.55;0.20;0.07;-5.27;6.27;10.75;1.12
-0.52;0.44;0.93;181345;-0.49;0.42;0.62;-5.32;6.32;10.84;1.32
-0.45;0.46;0.94;181345;0.68;0.20;0.06;-5.36;6.36;10.94;1.28
-0.44;0.43;0.86;181345;0.12;-0.29;-0.80;-5.41;6.41;11.02;1.10
-0.47;0.38;0.88;181345;-0.38;-0.43;0.27;-5.45;6.44;11.11;1.15
-0.37;0.35;1.02;181346;1.01;-0.27;1.38;-5.49;6.48;11.21;1.31
-0.28;0.37;0.87;181346;0.88;0.12;-1.47;-5.52;6.52;11.30;0.98
-0.56;0.31;0.98;181346;-2.75;-0.56;1.04;-5.58;6.55;11.40;1.37
-0.32;0.45;0.92;181346;2.38;1.42;-0.57;-5.61;6.59;11.49;1.16
-0.41;0.43;0.93;181346;-0.89;-0.18;0.12;-5.65;6.64;11.58;1.23
-0.38;0.41;0.93;181346;0.28;-0.22;-0.04;-5.69;6.68;11.68;1.18
-0.37;0.44;0.93;181346;0.09;0.29;0.01;-5.72;6.72;11.77;1.20
-0.38;0.43;0.93;181346;-0.09;-0.08;-0.03;-5.76;6.76;11.86;1.19
-0.38;0.42;0.92;181346;-0.02;-0.10;-0.03;-5.80;6.81;11.95;1.18
-0.38;0.44;0.93;181346;0.03;0.19;0.04;-5.84;6.85;12.05;1.20
-0.38;0.43;0.93;181347;0.05;-0.10;0.07;-5.88;6.89;12.14;1.20
-0.38;0.43;0.93;181347;-0.05;-0.01;-0.05;-5.91;6.94;12.23;1.19
-0.38;0.43;0.93;181347;-0.03;-0.01;-0.02;-5.95;6.98;12.33;1.19
-0.39;0.43;0.93;181347;-0.03;0.02;0.00;-5.99;7.02;12.42;1.19
-0.38;0.43;0.93;181347;0.03;-0.01;0.02;-6.03;7.07;12.51;1.19
-0.38;0.43;0.92;181347;0.04;0.05;-0.06;-6.07;7.11;12.60;1.19
-0.39;0.43;0.93;181347;-0.05;-0.01;0.03;-6.11;7.15;12.70;1.19
-0.38;0.43;0.92;181347;0.04;-0.01;-0.04;-6.14;7.20;12.79;1.18
-0.38;0.44;0.93;181347;0.01;0.06;0.02;-6.18;7.24;12.88;1.19
-0.38;0.44;0.92;181347;0.01;0.06;-0.00;-6.22;7.28;12.97;1.20
-0.38;0.44;0.93;181348;0.00;-0.05;0.01;-6.26;7.33;13.07;1.19
-0.38;0.44;0.92;181348;0.01;0.02;-0.05;-6.30;7.37;13.16;1.18
-0.38;0.44;0.92;181348;0.01;0.01;0.03;-6.33;7.42;13.25;1.19
-0.38;0.45;0.92;181348;0.00;0.06;0.00;-6.37;7.46;13.34;1.20
-0.38;0.45;0.92;181348;-0.02;-0.01;-0.05;-6.41;7.51;13.43;1.19
-0.38;0.45;0.93;181348;0.01;0.02;0.09;-6.45;7.55;13.53;1.21
-0.38;0.45;0.92;181348;-0.02;-0.02;-0.05;-6.49;7.59;13.62;1.20
-0.38;0.45;0.92;181348;0.04;0.01;-0.01;-6.52;7.64;13.71;1.19
-0.38;0.45;0.92;181348;-0.03;0.00;-0.01;-6.56;7.68;13.80;1.19
-0.38;0.45;0.92;181348;-0.03;0.05;0.01;-6.60;7.73;13.90;1.20
-0.38;0.45;0.92;181349;0.04;-0.01;-0.06;-6.64;7.77;13.99;1.19
-0.38;0.44;0.92;181349;0.00;-0.09;0.07;-6.68;7.82;14.08;1.19
-0.38;0.45;0.92;181349;-0.03;0.05;-0.04;-6.71;7.86;14.17;1.19
-0.38;0.44;0.92;181349;0.03;-0.05;0.00;-6.75;7.91;14.26;1.18
-0.38;0.45;0.91;181349;-0.03;0.04;-0.05;-6.79;7.95;14.36;1.18
-0.39;0.45;0.92;181349;-0.05;0.02;0.10;-6.83;8.00;14.45;1.20
-0.38;0.44;0.92;181349;0.04;-0.02;-0.04;-6.87;8.04;14.54;1.19
-0.38;0.45;0.92;181349;-0.00;0.00;-0.04;-6.91;8.09;14.63;1.18
-0.38;0.44;0.92;181349;0.01;-0.02;0.04;-6.94;8.13;14.72;1.19
-0.38;0.44;0.92;181349;0.05;0.01;-0.02;-6.98;8.17;14.81;1.18
-0.38;0.44;0.92;181350;0.00;-0.01;0.02;-7.02;8.22;14.91;1.18
-0.38;0.45;0.92;181350;-0.05;0.02;-0.02;-7.06;8.26;15.00;1.19
-0.38;0.45;0.92;181350;0.02;0.03;-0.02;-7.10;8.31;15.09;1.18
-0.38;0.45;0.91;181350;-0.01;0.01;-0.01;-7.13;8.35;15.18;1.18
-0.38;0.45;0.92;181350;0.04;-0.03;0.04;-7.17;8.40;15.27;1.18
-0.38;0.45;0.92;181350;-0.04;0.00;0.01;-7.21;8.44;15.36;1.19
-0.38;0.45;0.91;181350;-0.02;0.00;-0.05;-7.25;8.49;15.46;1.18
-0.38;0.45;0.91;181350;0.01;-0.00;-0.01;-7.29;8.53;15.55;1.18
-0.39;0.45;0.92;181350;-0.04;0.07;0.07;-7.32;8.58;15.64;1.20
-0.38;0.45;0.92;181350;0.02;-0.01;-0.03;-7.36;8.62;15.73;1.19
-0.38;0.45;0.92;181351;0.02;-0.02;0.03;-7.40;8.67;15.82;1.19
-0.38;0.45;0.92;181351;0.01;-0.04;-0.00;-7.44;8.71;15.91;1.19
-0.38;0.44;0.91;181351;0.01;-0.01;-0.08;-7.48;8.76;16.01;1.17
-0.38;0.45;0.92;181351;0.00;0.02;0.05;-7.51;8.80;16.10;1.18
-0.38;0.45;0.91;181351;-0.00;0.04;-0.06;-7.55;8.85;16.19;1.18
-0.38;0.45;0.92;181351;-0.01;-0.00;0.05;-7.59;8.89;16.28;1.19
-0.38;0.45;0.91;181351;-0.01;0.02;-0.01;-7.63;8.94;16.37;1.19
-0.38;0.45;0.92;181351;0.02;-0.03;0.03;-7.67;8.98;16.46;1.19
-0.38;0.45;0.92;181351;0.00;0.00;0.01;-7.70;9.03;16.56;1.19
-0.38;0.45;0.92;181351;-0.01;0.00;-0.03;-7.74;9.07;16.65;1.18
-0.38;0.45;0.92;181352;-0.02;0.01;0.01;-7.78;9.11;16.74;1.19
-0.38;0.45;0.92;181352;0.02;0.01;-0.01;-7.82;9.16;16.83;1.18
-0.38;0.45;0.92;181352;0.00;-0.00;0.00;-7.86;9.20;16.92;1.18
-0.38;0.45;0.92;181352;0.03;0.02;0.05;-7.89;9.25;17.01;1.19
-0.38;0.45;0.92;181352;-0.00;-0.02;-0.03;-7.93;9.29;17.11;1.19
-0.38;0.45;0.92;181352;-0.04;0.01;-0.01;-7.97;9.34;17.20;1.19
-0.38;0.45;0.92;181352;-0.01;0.04;0.00;-8.01;9.39;17.29;1.19
-0.38;0.45;0.91;181352;-0.02;-0.04;-0.02;-8.05;9.43;17.38;1.19
-0.38;0.46;0.91;181352;0.04;0.05;-0.03;-8.09;9.48;17.47;1.18
-0.38;0.45;0.92;181352;-0.01;-0.06;0.10;-8.12;9.52;17.56;1.20
-0.38;0.45;0.91;181353;-0.00;0.00;-0.13;-8.16;9.57;17.65;1.17
-0.35;0.53;0.88;181455;0.00;0.00;0.00;-0.04;0.05;0.09;1.18
-0.34;0.53;0.89;181455;0.09;0.01;0.06;-0.07;0.11;0.18;1.19
-0.35;0.54;0.88;181455;-0.03;0.06;-0.00;-0.10;0.16;0.26;1.19
-0.35;0.53;0.88;181455;-0.01;-0.10;-0.06;-0.14;0.21;0.35;1.17
-0.35;0.54;0.88;181455;0.02;0.06;0.01;-0.17;0.27;0.44;1.18
-0.35;0.54;0.88;181455;-0.03;0.01;0.02;-0.21;0.32;0.53;1.19
-0.35;0.53;0.88;181455;-0.02;-0.06;0.00;-0.24;0.37;0.62;1.18
